stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000601.SZ,1076622390.0,5921423146.12,韶能股份,1,0,广东韶能集团股份有限公司,26850,2021-05-13 00:00:00,551010,55101010
000603.SZ,673816217.0,10073552451.6,盛达资源,1,0,盛达金属资源股份有限公司,26851,2021-05-13 00:00:00,151040,15104020
000605.SZ,352016234.0,1932569128.0,渤海股份,1,0,渤海水业股份有限公司,26852,2021-05-13 00:00:00,551040,55104010
000606.SZ,743275842.0,1768996505.43,ST顺利,1,1,顺利办信息服务股份有限公司,26853,2021-05-13 00:00:00,451020,45102030
000607.SZ,1004447128.0,3857076973.9,华媒控股,1,0,浙江华媒控股股份有限公司,26854,2021-05-13 00:00:00,502010,50201010
000608.SZ,757955274.0,2827173174.9300003,阳光股份,1,0,阳光新业地产股份有限公司,26855,2021-05-13 00:00:00,601020,60102030
000609.SZ,302495006.0,840936116.82,*ST中迪,1,1,北京中迪投资股份有限公司,26856,2021-05-13 00:00:00,601020,60102030
000610.SZ,236223542.0,2133098588.01,西安旅游,1,0,西安旅游股份有限公司,26857,2021-05-13 00:00:00,253010,25301020
000611.SZ,337822022.0,969549203.14,*ST天首,1,1,内蒙古天首科技发展股份有限公司,26858,2021-05-13 00:00:00,252030,25203030
000612.SZ,1142923644.0,9954864939.9,焦作万方,1,0,焦作万方铝业股份有限公司,26859,2021-05-13 00:00:00,151040,15104010
000613.SZ,364100000.0,1889679000.0,*ST东海A,1,1,海南大东海旅游中心股份有限公司,26860,2021-05-13 00:00:00,253010,25301020
000615.SZ,837311179.0,21091868613.0,奥园美谷,1,0,奥园美谷科技股份有限公司,0,2021-05-13 00:00:00,601020,60102030
000616.SZ,1436917763.0,3075004013.75,ST海投,1,1,海航投资集团股份有限公司,26862,2021-05-13 00:00:00,601020,60102030
000617.SZ,12579391083.0,76105316055.58,中油资本,1,0,中国石油集团资本股份有限公司,26863,2021-05-13 00:00:00,402010,40201020
